frame,time,x,y,heading,v_x,v_y,yaw_rate,steer_angle,pedal_acc,pedal_brake,lon_acc,distance
84,1642757607.877455,69.233739,16.643047,0.455705,5.882247,-0.468007,6.810000,-160.000000,45.000000,2.000000,0.000000,12.694611
85,1642757607.917632,69.440162,16.758720,0.460767,5.901900,-0.466453,7.330000,-160.000000,45.000000,2.000000,0.000000,12.931234
86,1642757607.957338,69.646642,16.876612,0.465828,5.905294,-0.534513,7.000000,-160.000000,45.000000,2.000000,0.000000,13.169000
87,1642757607.957338,69.646642,16.876612,0.465828,5.905294,-0.534513,7.000000,-160.000000,45.000000,2.000000,0.000000,13.169000
88,1642757607.997403,69.850423,16.994574,0.470366,5.890932,-0.547625,6.710000,-160.000000,45.000000,2.000000,0.000000,13.404461
89,1642757607.997403,69.850423,16.994574,0.470366,5.890932,-0.547625,6.710000,-160.000000,45.000000,2.000000,0.000000,13.404461
90,1642757608.037391,70.053391,17.115888,0.475079,5.880745,-0.543261,6.660000,-160.000000,45.000000,2.000000,0.000000,13.640920
91,1642757608.037391,70.053391,17.115888,0.475079,5.880745,-0.543261,6.660000,-160.000000,45.000000,2.000000,0.000000,13.640920
92,1642757608.077518,70.255459,17.237225,0.479966,5.854410,-0.523933,7.590000,-160.000000,45.000000,2.000000,0.000000,13.876620
93,1642757608.117445,70.457499,17.357452,0.486074,5.842518,-0.438396,9.260000,-160.000000,45.000000,2.000000,0.000000,14.111725
94,1642757608.117445,70.457499,17.357452,0.486074,5.842518,-0.438396,9.260000,-160.000000,45.000000,2.000000,0.000000,14.111725
95,1642757608.157370,70.659510,17.476570,0.492706,5.856176,-0.419902,9.560000,-160.000000,45.000000,2.000000,0.000000,14.346241
96,1642757608.157370,70.659510,17.476570,0.492706,5.856176,-0.419902,9.560000,-160.000000,45.000000,2.000000,0.000000,14.346241
97,1642757608.217420,70.962948,17.654126,0.502480,5.877599,-0.400899,8.730000,-160.000000,45.000000,2.000000,0.000000,14.697810
98,1642757608.217420,70.962948,17.654126,0.502480,5.877599,-0.400899,8.730000,-160.000000,45.000000,2.000000,0.000000,14.697810
99,1642757608.277339,71.262175,17.842894,0.509811,5.861549,-0.541331,6.000000,-160.000000,45.000000,2.000000,0.000000,15.051603
100,1642757608.297410,71.361046,17.906949,0.511905,5.871046,-0.554170,5.860000,-160.000000,45.000000,2.000000,0.000000,15.169411
