frame,time,x,y,heading,v_x,v_y,yaw_rate
108,1642495875.036966,-26.357447,15.189117,0.649786,2.200237,-0.062573,-1.560000
109,1642495875.076981,-26.287676,15.241712,0.648913,2.186117,-0.052569,-1.060000
110,1642495875.116974,-26.219703,15.294354,0.648390,2.176861,-0.048159,-0.640000
111,1642495875.156984,-26.149932,15.346949,0.648041,2.176674,-0.055319,-0.610000
112,1642495875.216973,-26.044418,15.424154,0.647343,2.182432,-0.056217,-0.680000
113,1642495875.257006,-25.974646,15.476749,0.646994,2.173583,-0.048609,-0.220000
114,1642495875.296988,-25.907573,15.529415,0.647168,2.160132,-0.032079,0.280000
115,1642495875.336990,-25.837830,15.580900,0.647517,2.175123,-0.026265,0.610000
116,1642495875.376977,-25.768087,15.632386,0.648041,2.189749,-0.027860,0.590000
117,1642495875.416973,-25.697416,15.684958,0.648390,2.185267,-0.049317,0.350000
118,1642495875.456979,-25.627644,15.737553,0.648390,2.178844,-0.085549,-0.070000
119,1642495875.496994,-25.561413,15.792460,0.648564,2.191417,-0.076905,0.140000
120,1642495875.556977,-25.456742,15.871908,0.648739,2.185556,-0.062153,0.310000
121,1642495875.596972,-25.386970,15.924503,0.648913,2.182818,-0.071387,0.080000
122,1642495875.636970,-25.317170,15.978208,0.649088,2.205989,-0.063477,0.070000
123,1642495875.676973,-25.250068,16.031982,0.649088,2.217830,-0.070811,-0.140000
124,1642495875.716972,-25.179339,16.086773,0.648913,2.207433,-0.074054,-0.160000
125,1642495875.756990,-25.109568,16.139368,0.648913,2.182322,-0.090590,-0.080000
126,1642495875.796979,-25.040667,16.193096,0.648913,2.169824,-0.072457,0.360000
127,1642495875.836974,-24.971823,16.244605,0.649437,2.165701,-0.044345,0.760000
128,1642495875.896989,-24.868979,16.322990,0.650135,2.164546,-0.014841,0.350000
129,1642495875.937013,-24.799265,16.373366,0.649961,2.158812,-0.025856,-0.330000
130,1642495875.976979,-24.729494,16.425961,0.649612,2.167815,-0.028554,-0.770000
131,1642495876.016989,-24.659779,16.476337,0.649088,2.158897,-0.011339,-0.640000
132,1642495876.056981,-24.590065,16.526713,0.648739,2.148674,-0.008546,-0.610000
133,1642495876.096973,-24.522121,16.578246,0.648390,2.161111,-0.017435,-0.590000
134,1642495876.137197,-24.451508,16.628599,0.648041,2.178781,-0.034910,-0.660000
135,1642495876.197093,-24.346893,16.705827,0.647343,2.159845,-0.059503,-0.880000
136,1642495876.236974,-24.277179,16.756203,0.646644,2.162455,-0.077803,-0.950000
137,1642495876.276983,-24.207436,16.807689,0.646121,2.180791,-0.070087,-0.840000
138,1642495876.316987,-24.140335,16.861463,0.645946,2.187917,-0.045050,-0.370000
139,1642495876.356980,-24.068821,16.911793,0.645772,2.189877,-0.031427,-0.100000
140,1642495876.396977,-23.998179,16.963255,0.645772,2.186300,-0.041636,-0.020000
141,1642495876.436973,-23.928407,17.015851,0.645772,2.179112,-0.047052,-0.060000
142,1642495876.476975,-23.857765,17.067313,0.645772,2.182723,-0.051844,0.020000
143,1642495876.537001,-23.755792,17.146830,0.646121,2.199417,-0.079838,0.180000
144,1642495876.576970,-23.685121,17.199402,0.646121,2.216799,-0.072993,0.100000
145,1642495876.616978,-23.614421,17.253084,0.646470,2.202925,-0.038860,0.520000
146,1642495876.656977,-23.543778,17.304546,0.646819,2.189958,-0.044134,0.600000
147,1642495876.696974,-23.473949,17.359360,0.647168,2.211606,-0.052090,0.490000
148,1642495876.736979,-23.403250,17.413042,0.647517,2.207871,-0.062934,0.170000
149,1642495876.776987,-23.333478,17.465637,0.647343,2.185524,-0.080205,-0.260000
150,1642495876.817030,-23.263678,17.519341,0.647168,2.193598,-0.104557,-0.560000
151,1642495876.876981,-23.159877,17.599922,0.646644,2.198856,-0.077889,-0.210000
152,1642495876.916971,-23.090076,17.653626,0.646819,2.181164,-0.045763,0.400000
153,1642495876.956998,-23.020333,17.705112,0.647343,2.181130,-0.029621,0.970000
154,1642495876.996991,-22.949662,17.757684,0.648215,2.201806,-0.038421,1.020000
155,1642495877.037012,-22.878991,17.810256,0.648739,2.193795,-0.069710,0.650000
156,1642495877.076977,-22.810119,17.862874,0.649088,2.180469,-0.077819,0.230000
157,1642495877.116985,-22.741218,17.916602,0.649262,2.185559,-0.056009,0.390000
158,1642495877.156973,-22.670518,17.970284,0.649612,2.211535,-0.048088,0.350000
159,1642495877.216996,-22.564918,18.050818,0.649612,2.200700,-0.075154,-0.210000
160,1642495877.257128,-22.495147,18.103413,0.649437,2.188179,-0.057412,-0.120000
161,1642495877.296983,-22.426217,18.158250,0.649437,2.220598,-0.060420,-0.070000
162,1642495877.336972,-22.355517,18.211932,0.649612,2.236121,-0.045737,0.250000
163,1642495877.376978,-22.283918,18.265590,0.649961,2.229542,-0.014799,0.530000
164,1642495877.417009,-22.211448,18.318115,0.650135,2.222862,-0.032054,0.170000
165,1642495877.456977,-22.140748,18.371796,0.649961,2.242191,-0.084318,-0.460000
166,1642495877.517000,-22.035990,18.454573,0.649437,2.245716,-0.080271,-0.460000
167,1642495877.556972,-21.964391,18.508231,0.649262,2.228034,-0.068965,-0.200000
168,1642495877.596980,-21.893691,18.561912,0.649088,2.210825,-0.069850,-0.020000
169,1642495877.636975,-21.822120,18.614461,0.649088,2.224423,-0.069574,0.120000
170,1642495877.676978,-21.751420,18.668142,0.649262,2.226134,-0.051575,0.370000
171,1642495877.717104,-21.683419,18.721893,0.649612,2.198097,-0.041970,0.430000
172,1642495877.756974,-21.612748,18.774465,0.649786,2.199951,-0.048974,0.380000
173,1642495877.796976,-21.542077,18.827037,0.649961,2.199772,-0.081392,0.010000
174,1642495877.856987,-21.436506,18.906461,0.649961,2.202733,-0.075373,0.130000
175,1642495877.896986,-21.369375,18.961345,0.650310,2.205943,-0.072182,0.380000
176,1642495877.937060,-21.299575,19.015050,0.650659,2.204376,-0.072624,0.680000
177,1642495877.977074,-21.228904,19.067622,0.651531,2.210788,-0.039448,1.340000
178,1642495878.016980,-21.157305,19.121280,0.652579,2.222933,-0.026623,1.750000
