frame,time,x,y,heading,v_x,v_y,yaw_rate
122,1642501847.791121,-32.686406,10.247000,0.772832,-0.002130,-0.000680,-0.050000
123,1642501847.831115,-32.686406,10.247000,0.772832,0.000734,0.002112,-0.030000
124,1642501847.871183,-32.686377,10.248109,0.772832,-0.001396,0.001432,-0.050000
125,1642501847.891117,-32.686377,10.248109,0.772832,-0.000734,-0.002112,-0.070000
126,1642501847.951115,-32.686377,10.248109,0.772832,0.000053,0.004242,-0.000000
127,1642501847.991120,-32.686377,10.248109,0.772832,0.001414,-0.000018,-0.020000
128,1642501848.051203,-32.686377,10.248109,0.772832,-0.000680,0.002130,-0.020000
129,1642501848.131117,-32.686377,10.248109,0.772832,0.001450,0.002810,0.010000
130,1642501848.171117,-32.686377,10.248109,0.772832,-0.001396,0.001432,0.010000
131,1642501848.231126,-32.686377,10.248109,0.772832,0.001467,0.004225,0.040000
132,1642501848.271116,-32.686377,10.248109,0.772832,-0.000680,0.002130,-0.010000
133,1642501848.311306,-32.686377,10.248109,0.772832,0.000053,0.004242,0.010000
134,1642501848.331115,-32.686377,10.248109,0.772832,0.003544,0.000663,-0.040000
135,1642501848.431109,-32.686406,10.247000,0.772832,-0.000645,0.004958,-0.000000
136,1642501848.471116,-32.686406,10.247000,0.772832,-0.005585,0.005727,0.020000
137,1642501848.511124,-32.686406,10.247000,0.772832,-0.003455,0.006408,0.010000
138,1642501848.551129,-32.686406,10.247000,0.772832,-0.002793,0.002864,-0.030000
139,1642501848.591109,-32.686406,10.247000,0.772832,-0.000000,0.000000,-0.060000
140,1642501848.671121,-32.686406,10.247000,0.772832,-0.003491,0.003580,0.050000
141,1642501848.731120,-32.686406,10.247000,0.772832,0.000018,0.001414,-0.010000
142,1642501848.791118,-32.686406,10.247000,0.772832,-0.001432,-0.001396,-0.050000
143,1642501848.831113,-32.686406,10.247000,0.772832,0.001450,0.002810,-0.000000
144,1642501848.851192,-32.686406,10.247000,0.772832,-0.002757,0.005692,0.020000
145,1642501848.891140,-32.686377,10.248109,0.772832,-0.002810,0.001450,-0.010000
146,1642501848.971107,-32.686406,10.247000,0.772832,-0.003509,0.002166,-0.000000
147,1642501849.011180,-32.686406,10.247000,0.772832,-0.003491,0.003580,0.010000
148,1642501849.031116,-32.686406,10.247000,0.772832,0.002112,-0.000734,-0.070000
149,1642501849.151115,-32.686406,10.247000,0.772832,0.000053,0.004242,0.000000
150,1642501849.191117,-32.686406,10.247000,0.772832,-0.000734,-0.002112,-0.060000
151,1642501849.231112,-32.686406,10.247000,0.772832,-0.000716,-0.000698,-0.050000
152,1642501849.251122,-32.686406,10.247000,0.772657,-0.005620,0.002900,-0.010000
153,1642501849.271111,-32.686377,10.248109,0.772657,-0.004940,0.000770,-0.010000
154,1642501849.351115,-32.686377,10.248109,0.772657,-0.007052,0.001504,0.020000
155,1642501849.411116,-32.686406,10.247000,0.772657,-0.007034,0.002918,0.020000
156,1642501849.491119,-32.687277,10.248133,0.772657,-0.006390,-0.002040,-0.050000
157,1642501849.531136,-32.687305,10.247023,0.772657,-0.004868,0.006427,0.050000
158,1642501849.571110,-32.687305,10.247023,0.772657,-0.010507,0.007913,0.100000
159,1642501849.591123,-32.687305,10.247023,0.772832,-0.011260,0.004384,0.040000
160,1642501849.651125,-32.687334,10.245914,0.772832,-0.011922,0.007929,0.050000
161,1642501849.751149,-32.687334,10.245914,0.772832,-0.005568,0.007142,-0.030000
162,1642501849.811123,-32.687334,10.245914,0.772657,0.002684,-0.011349,-0.240000
163,1642501849.831136,-32.688234,10.245937,0.772657,0.008250,-0.018491,-0.360000
164,1642501849.851118,-32.688234,10.245937,0.772483,0.007604,-0.013534,-0.290000
165,1642501849.911122,-32.688205,10.247046,0.772483,0.000073,0.005656,0.160000
166,1642501849.951123,-32.687305,10.247023,0.772657,-0.006102,0.020586,0.470000
167,1642501849.991124,-32.687305,10.247023,0.773006,-0.010527,0.006495,0.290000
168,1642501850.031131,-32.688234,10.245937,0.773006,-0.010685,-0.006232,0.050000
169,1642501850.131129,-32.689105,10.247070,0.773006,-0.007053,0.001502,0.040000
170,1642501850.191131,-32.689105,10.247070,0.773006,-0.007035,0.002916,0.010000
171,1642501850.231128,-32.689133,10.245960,0.773181,-0.002707,0.009933,0.050000
172,1642501850.251126,-32.689133,10.245960,0.773181,-0.003458,0.006407,0.000000
173,1642501850.291127,-32.689105,10.247070,0.773181,-0.000681,0.002130,-0.040000
174,1642501850.331115,-32.689105,10.247070,0.773006,0.002077,-0.003562,-0.180000
175,1642501850.391126,-32.689105,10.247070,0.772832,-0.002183,-0.004923,-0.140000
176,1642501850.471111,-32.689105,10.247070,0.773006,-0.009113,0.006477,0.090000
177,1642501850.511117,-32.689105,10.247070,0.773006,-0.011941,0.006512,0.080000
178,1642501850.591123,-32.690033,10.245983,0.773006,-0.008590,-0.008379,-0.140000
179,1642501850.631121,-32.690033,10.245983,0.772832,-0.006355,0.000787,-0.000000
180,1642501850.671121,-32.690004,10.247093,0.773006,-0.006320,0.003614,0.090000
181,1642501850.731120,-32.690033,10.245983,0.773006,-0.004888,0.005011,0.110000
182,1642501850.811327,-32.690033,10.245983,0.773006,-0.009951,-0.004120,-0.110000
183,1642501850.831108,-32.690932,10.246007,0.773006,-0.007123,-0.004155,-0.090000
184,1642501850.851118,-32.690932,10.246007,0.773006,-0.007786,-0.000611,-0.070000
185,1642501850.931108,-32.690932,10.246007,0.772832,-0.006283,0.006443,0.050000
186,1642501850.971219,-32.690932,10.246007,0.773006,-0.010527,0.006495,0.080000
187,1642501851.011132,-32.690961,10.244897,0.773006,-0.012692,0.002986,0.050000
188,1642501851.031108,-32.690961,10.244897,0.773006,-0.009235,-0.003421,-0.060000
189,1642501851.151112,-32.691861,10.244921,0.773006,-0.009113,0.006477,0.140000
190,1642501851.191119,-32.691861,10.244921,0.773006,-0.007071,0.000088,0.040000
191,1642501851.231117,-32.691861,10.244921,0.773006,-0.003544,-0.000663,0.010000
192,1642501851.251111,-32.690932,10.246007,0.773181,-0.005639,0.001483,0.020000
193,1642501851.311128,-32.691832,10.246030,0.773006,-0.007734,0.003632,0.050000
194,1642501851.351134,-32.691861,10.244921,0.773006,-0.009165,0.002235,0.020000
195,1642501851.411119,-32.691861,10.244921,0.773181,-0.010563,0.003665,0.060000
196,1642501851.491118,-32.691832,10.246030,0.773181,-0.009916,-0.001293,0.010000
197,1642501851.531126,-32.691861,10.244921,0.773181,-0.006372,-0.000629,0.010000
198,1642501851.571123,-32.691861,10.244921,0.773181,-0.006355,0.000785,0.020000
199,1642501851.591191,-32.692760,10.244944,0.773181,-0.006338,0.002199,0.060000
200,1642501851.691176,-32.691832,10.246030,0.773355,-0.001397,0.001431,0.080000
201,1642501851.751109,-32.691832,10.246030,0.773530,-0.004226,0.001464,0.040000
202,1642501851.791123,-32.691861,10.244921,0.773530,-0.005008,-0.004891,-0.030000
203,1642501851.831194,-32.691861,10.244921,0.773355,-0.007820,-0.003442,0.010000
204,1642501851.871131,-32.691832,10.246030,0.773355,-0.009950,-0.004123,-0.030000
