frame,time,x,y,heading,v_x,v_y,yaw_rate,steer_angle,pedal_acc,pedal_brake,lon_acc
92,1642587305.901291,-33.771102,10.001972,0.567930,0.011120,0.001164,0.020000,9.000000,16,0,0.000000
93,1642587305.961203,-33.771073,10.003082,0.567930,-0.014564,-0.006920,-0.090000,9.000000,16,0,0.000000
94,1642587306.041212,-33.771102,10.001972,0.567930,0.000145,0.007210,0.090000,9.000000,16,0,0.000000
95,1642587306.081396,-33.772001,10.001996,0.567930,0.000305,0.001381,-0.050000,9.000000,16,0,0.000000
96,1642587306.121199,-33.772001,10.001996,0.567930,-0.005363,-0.004608,-0.050000,9.000000,16,0,0.000000
97,1642587306.161188,-33.772001,10.001996,0.567930,-0.004520,-0.004070,-0.040000,9.000000,16,0,0.000000
98,1642587306.201191,-33.772001,10.001996,0.567930,-0.002995,0.002834,0.120000,9.000000,16,0,0.000000
99,1642587306.241728,-33.772001,10.001996,0.568105,0.011962,0.001704,0.100000,9.000000,16,0,0.000000
100,1642587306.341194,-33.772001,10.001996,0.568105,0.016177,0.004394,0.060000,9.000000,16,0,0.000000
101,1642587306.381240,-33.772001,10.001996,0.568105,-0.013110,-0.003623,-0.070000,9.000000,16,0,0.000000
102,1642587306.421205,-33.772001,10.001996,0.568105,-0.017020,-0.004932,-0.080000,9.000000,16,0,0.000000
103,1642587306.461195,-33.772901,10.002019,0.568105,0.004986,-0.000377,-0.050000,2.000000,16,0,0.000000
104,1642587306.501424,-33.772901,10.002019,0.568105,0.007353,0.007066,0.070000,2.000000,18,0,0.000000
105,1642587306.581318,-33.772001,10.001996,0.567930,0.012661,-0.004970,-0.210000,-13.000000,18,0,0.000000
106,1642587306.641270,-33.772872,10.003128,0.567756,-0.017778,-0.014897,-0.150000,-13.000000,18,0,0.000000
107,1642587306.681352,-33.773800,10.002042,0.567756,-0.022864,0.007953,0.170000,-27.000000,18,0,0.000000
108,1642587306.721189,-33.774729,10.000956,0.567930,-0.018971,0.022296,0.270000,-27.000000,18,0,0.000000
109,1642587306.761473,-33.774729,10.000956,0.567930,-0.006744,-0.004303,-0.210000,-44.000000,18,0,0.000000
110,1642587306.801277,-33.773800,10.002042,0.567581,0.018341,-0.012026,-0.380000,-44.000000,18,0,0.000000
111,1642587306.881291,-33.773800,10.002042,0.567407,-0.007904,0.006821,0.160000,-66.000000,18,0,0.000000
112,1642587306.921209,-33.774700,10.002066,0.567581,-0.029376,0.001432,0.130000,-66.000000,18,0,0.000000
113,1642587306.981192,-33.774729,10.000956,0.567756,0.003067,0.000770,-0.020000,-90.000000,18,0,0.000000
114,1642587307.041246,-33.773800,10.002042,0.567581,0.011584,-0.003288,-0.120000,-90.000000,18,0,0.000000
115,1642587307.061190,-33.773800,10.002042,0.567407,0.011889,-0.001909,-0.100000,-111.000000,18,0,0.000000
116,1642587307.101189,-33.773800,10.002042,0.567407,0.009202,0.002307,-0.040000,-111.000000,18,0,0.000000
117,1642587307.181229,-33.774700,10.002066,0.567407,-0.016875,0.002289,0.000000,-132.000000,18,0,0.000000
118,1642587307.221203,-33.774700,10.002066,0.567407,0.015568,0.001621,-0.030000,-132.000000,18,0,0.000000
119,1642587307.281207,-33.773800,10.002042,0.567407,0.003456,-0.007284,-0.170000,-153.000000,18,0,0.000000
120,1642587307.341195,-33.774700,10.002066,0.567232,-0.022085,-0.008141,-0.110000,-153.000000,18,0,0.000000
121,1642587307.361192,-33.774700,10.002066,0.567232,-0.015031,-0.002462,-0.060000,-163.000000,18,0,0.000000
122,1642587307.441189,-33.774700,10.002066,0.567232,0.010121,0.006448,0.110000,-167.000000,18,0,0.000000
123,1642587307.481192,-33.774700,10.002066,0.567232,0.010508,-0.001605,-0.070000,-165.000000,18,0,0.000000
124,1642587307.521229,-33.774700,10.002066,0.567057,-0.008280,-0.011200,-0.170000,-165.000000,18,0,0.000000
125,1642587307.561222,-33.774671,10.003175,0.567057,0.010202,-0.002988,-0.050000,-165.000000,18,0,0.000000
126,1642587307.621197,-33.774671,10.003175,0.567057,0.009278,0.005909,0.130000,-165.000000,18,0,0.000000
127,1642587307.681372,-33.774700,10.002066,0.567232,0.007747,-0.000993,0.040000,-165.000000,18,0,0.000000
128,1642587307.741301,-33.774671,10.003175,0.567057,0.029912,-0.002291,-0.080000,-165.000000,18,0,0.000000
129,1642587307.781194,-33.774671,10.003175,0.567057,-0.005136,-0.006828,-0.120000,-165.000000,18,0,0.000000
130,1642587307.821629,-33.773772,10.003152,0.567057,0.011121,0.001154,-0.050000,-165.000000,18,0,0.000000
131,1642587307.861218,-33.773772,10.003152,0.567057,-0.001305,0.003911,-0.030000,-165.000000,18,0,0.000000
132,1642587307.901231,-33.774671,10.003175,0.566883,-0.019941,0.001531,-0.020000,-165.000000,21,0,0.000000
133,1642587307.961194,-33.774671,10.003175,0.566883,-0.014189,-0.001920,-0.090000,-165.000000,21,0,0.000000
134,1642587308.041212,-33.774671,10.003175,0.566708,0.001534,-0.006136,-0.110000,-165.000000,21,0,0.000000
135,1642587308.081234,-33.774671,10.003175,0.566708,-0.010968,-0.006979,-0.060000,-165.000000,21,0,0.000000
136,1642587308.121217,-33.774671,10.003175,0.566708,-0.002531,-0.001611,0.060000,-165.000000,21,0,0.000000
137,1642587308.161200,-33.774671,10.003175,0.566708,0.012655,0.008053,0.150000,-164.000000,21,0,0.000000
138,1642587308.201211,-33.774671,10.003175,0.566708,-0.012885,-0.005829,-0.020000,-164.000000,21,0,0.000000
139,1642587308.241235,-33.774671,10.003175,0.566708,-0.000767,-0.009971,-0.080000,-164.000000,21,0,0.000000
140,1642587308.341217,-33.773743,10.004261,0.566708,0.028991,0.006595,0.150000,-164.000000,21,0,0.000000
141,1642587308.381188,-33.773743,10.004261,0.566883,-0.004448,-0.000461,0.090000,-164.000000,21,0,0.000000
142,1642587308.421196,-33.773743,10.004261,0.566883,-0.012041,-0.005294,0.050000,-164.000000,21,0,0.000000
143,1642587308.461253,-33.772843,10.004238,0.566883,0.020785,-0.000994,0.030000,-164.000000,21,0,0.000000
144,1642587308.501234,-33.772815,10.005347,0.566883,0.000767,-0.003068,0.020000,-164.000000,21,0,0.000000
145,1642587308.581198,-33.771915,10.005324,0.566883,0.021628,-0.000457,0.020000,-164.000000,21,0,0.000000
146,1642587308.641212,-33.771915,10.005324,0.566883,0.027764,0.001078,-0.030000,-164.000000,21,0,0.000000
147,1642587308.681187,-33.771886,10.006434,0.566883,0.000154,-0.005829,-0.080000,-165.000000,24,0,0.000000
148,1642587308.721188,-33.770987,10.006410,0.566883,0.021322,-0.001837,-0.030000,-165.000000,24,0,0.000000
149,1642587308.761182,-33.770087,10.006387,0.566708,0.020785,-0.000997,-0.010000,-165.000000,24,0,0.000000
150,1642587308.801197,-33.770059,10.007497,0.566708,0.034206,-0.009051,-0.180000,-165.000000,21,0,0.000000
151,1642587308.881197,-33.762748,10.011748,0.566359,0.115726,-0.023589,-0.380000,-165.000000,21,0,0.000000
152,1642587308.921191,-33.758164,10.014960,0.566185,0.158828,-0.018724,-0.230000,-165.000000,21,0,0.000000
153,1642587308.981227,-33.750824,10.020321,0.566185,0.172875,0.002053,0.150000,-165.000000,24,0,0.000000
154,1642587309.041230,-33.741685,10.025636,0.566185,0.214358,-0.016606,-0.140000,-165.000000,21,0,0.000000
155,1642587309.061187,-33.737101,10.028848,0.566010,0.219102,-0.027845,-0.270000,-165.000000,24,0,0.000000
156,1642587309.141196,-33.719665,10.041719,0.565661,0.283976,-0.029371,-0.050000,-165.000000,21,0,0.000000
157,1642587309.181205,-33.710498,10.048143,0.565836,0.287289,-0.017743,0.340000,-165.000000,21,0,0.000000
158,1642587309.221185,-33.700431,10.054544,0.566185,0.333856,-0.007008,0.540000,-165.000000,21,0,0.000000
159,1642587309.261183,-33.688536,10.062008,0.566359,0.346964,-0.029426,0.250000,-165.000000,24,0,0.000000
160,1642587309.321564,-33.669272,10.075942,0.566708,0.397901,-0.034828,0.270000,-165.000000,21,0,0.000000
161,1642587309.401224,-33.640870,10.095191,0.567407,0.454675,-0.026843,0.520000,-165.000000,21,0,0.000000
162,1642587309.441187,-33.625319,10.104780,0.567756,0.460454,-0.043168,0.350000,-165.000000,24,0,0.000000
163,1642587309.481378,-33.607884,10.117652,0.567930,0.539069,-0.038008,0.410000,-165.000000,21,0,0.000000
164,1642587309.521258,-33.590477,10.129414,0.568279,0.531121,-0.047649,0.390000,-165.000000,24,0,0.000000
165,1642587309.561203,-33.572141,10.142262,0.568628,0.584274,-0.039616,0.600000,-166.000000,21,0,0.200000
166,1642587309.601253,-33.552878,10.156196,0.568977,0.596816,-0.051579,0.510000,-166.000000,21,0,0.400000
