frame,time,x,y,heading,v_x,v_y,yaw_rate
103,1642496175.757008,-27.857708,14.329782,0.665320,2.067621,-0.005893,-0.560000
104,1642496175.796981,-27.791621,14.379141,0.664796,2.064299,-0.010847,-0.680000
105,1642496175.836994,-27.725533,14.428501,0.664098,2.063196,-0.027114,-1.120000
106,1642496175.876986,-27.660317,14.478994,0.663225,2.051868,-0.033938,-1.340000
107,1642496175.917015,-27.597827,14.528447,0.662178,2.046472,-0.027585,-1.420000
108,1642496175.957133,-27.532640,14.577830,0.661305,2.051797,-0.026476,-1.470000
109,1642496175.996974,-27.466552,14.627190,0.660258,2.046601,-0.018709,-1.300000
110,1642496176.036975,-27.401364,14.676573,0.659385,2.041426,-0.010576,-1.180000
111,1642496176.096973,-27.304961,14.749573,0.658338,2.045263,-0.016057,-1.020000
112,1642496176.136977,-27.239773,14.798956,0.657640,2.047626,-0.015651,-0.950000
113,1642496176.177009,-27.173714,14.847206,0.656942,2.043474,-0.021537,-0.930000
114,1642496176.216983,-27.107656,14.895457,0.656418,2.049254,-0.021932,-0.900000
115,1642496176.256984,-27.041568,14.944817,0.655720,2.058811,-0.021045,-0.980000
116,1642496176.296972,-26.978180,14.994246,0.655022,2.062209,-0.023643,-1.010000
117,1642496176.337009,-26.912092,15.043606,0.654149,2.061262,-0.032453,-1.260000
118,1642496176.376981,-26.846034,15.091856,0.653277,2.056322,-0.022900,-1.380000
119,1642496176.436974,-26.746931,15.164787,0.651880,2.051769,-0.011608,-1.290000
120,1642496176.476976,-26.679973,15.213014,0.650833,2.049070,-0.001976,-1.210000
121,1642496176.516972,-26.615714,15.261311,0.649961,2.042028,0.002190,-1.300000
122,1642496176.556979,-26.549684,15.308452,0.648913,2.034062,-0.005991,-1.590000
123,1642496176.597261,-26.484525,15.356725,0.647692,2.026682,-0.015307,-1.790000
124,1642496176.637042,-26.419365,15.404999,0.646295,2.012303,-0.033977,-1.940000
125,1642496176.676973,-26.354235,15.452163,0.644899,1.997048,-0.033208,-1.830000
126,1642496176.716981,-26.291803,15.499397,0.643677,1.986206,-0.031250,-1.570000
127,1642496176.776975,-26.196357,15.570201,0.642281,1.975946,-0.045411,-1.250000
128,1642496176.816998,-26.132155,15.616279,0.641409,1.971514,-0.042926,-1.160000
129,1642496176.857211,-26.068852,15.662380,0.640710,1.968087,-0.043093,-0.980000
130,1642496176.896996,-26.006420,15.709614,0.640187,1.972860,-0.045539,-0.710000
131,1642496176.937034,-25.942218,15.755692,0.640012,1.980925,-0.024911,-0.160000
132,1642496176.976984,-25.878016,15.801770,0.640012,1.979578,-0.009707,0.130000
133,1642496177.016976,-25.813814,15.847848,0.640012,1.978894,-0.033904,-0.090000
134,1642496177.056989,-25.749612,15.893926,0.639838,1.972192,-0.060425,-0.450000
135,1642496177.116991,-25.656835,15.965910,0.639314,1.964732,-0.068227,-0.340000
136,1642496177.156973,-25.594403,16.013144,0.639314,1.957139,-0.066395,-0.090000
137,1642496177.196981,-25.532000,16.059268,0.639314,1.944959,-0.061744,0.070000
138,1642496177.236977,-25.469568,16.106503,0.639314,1.935185,-0.055303,0.220000
139,1642496177.276972,-25.408036,16.153760,0.639489,1.931985,-0.057352,0.180000
140,1642496177.316974,-25.346504,16.201017,0.639489,1.928796,-0.054740,0.060000
141,1642496177.356975,-25.284101,16.247142,0.639489,1.925832,-0.045728,-0.030000
142,1642496177.396973,-25.222597,16.293289,0.639489,1.935175,-0.059965,-0.120000
143,1642496177.456977,-25.129907,16.361945,0.639489,1.922888,-0.031716,0.260000
144,1642496177.497085,-25.068403,16.408093,0.639838,1.905698,-0.031382,0.450000
145,1642496177.536981,-25.006928,16.453131,0.640012,1.892530,-0.023403,0.480000
146,1642496177.577119,-24.945482,16.497060,0.640361,1.886406,-0.001123,0.220000
147,1642496177.616990,-24.884036,16.540989,0.640361,1.881563,-0.014708,-0.140000
148,1642496177.656977,-24.822590,16.584917,0.640187,1.875399,-0.003416,-0.350000
149,1642496177.696973,-24.762015,16.629979,0.639838,1.865808,-0.001235,-0.460000
150,1642496177.796984,-24.610720,16.737085,0.638965,1.847230,-0.041580,-0.860000
151,1642496177.836974,-24.551102,16.779951,0.638441,1.833143,-0.055476,-0.830000
152,1642496177.876988,-24.491513,16.821708,0.637918,1.835648,-0.068250,-0.670000
153,1642496177.916987,-24.432708,16.867925,0.637569,1.838570,-0.077908,-0.460000
