frame,time,x,y,heading,v_x,v_y,yaw_rate,steer_angle,pedal_acc,pedal_brake,lon_acc
84,1642591594.001198,-33.439704,9.660314,0.631111,-0.021396,0.000465,0.210000,23.000000,13,0,0.000000
85,1642591594.041191,-33.439732,9.659205,0.631111,-0.002950,0.004037,0.070000,23.000000,13,0,0.000000
86,1642591594.081229,-33.439732,9.659205,0.631111,0.010869,0.005466,-0.030000,23.000000,13,0,0.000000
87,1642591594.121213,-33.439704,9.660314,0.631111,0.004782,-0.001459,-0.030000,23.000000,13,0,0.000000
88,1642591594.221178,-33.439704,9.660314,0.631111,-0.017794,0.000621,0.090000,23.000000,13,0,0.000000
89,1642591594.261318,-33.439704,9.660314,0.631286,-0.009036,-0.002890,0.050000,23.000000,13,0,0.000000
90,1642591594.301193,-33.439704,9.660314,0.631286,0.006458,0.004721,0.010000,23.000000,13,0,0.000000
91,1642591594.341233,-33.439704,9.660314,0.631286,0.002856,0.004565,0.010000,23.000000,13,0,0.000000
92,1642591594.381199,-33.439675,9.661424,0.631111,-0.007701,-0.008105,-0.050000,23.000000,13,0,0.000000
93,1642591594.461205,-33.439704,9.660314,0.631286,-0.003324,0.006241,0.050000,23.000000,13,0,0.000000
94,1642591594.521324,-33.440603,9.660338,0.631286,-0.002049,-0.003975,-0.060000,23.000000,13,0,0.000000
95,1642591594.581239,-33.440574,9.661447,0.631111,-0.005776,-0.014130,-0.190000,23.000000,10,0,0.000000
96,1642591594.601207,-33.440574,9.661447,0.631111,-0.003168,0.002639,-0.060000,23.000000,10,0,0.000000
97,1642591594.641192,-33.440603,9.660338,0.631111,-0.013229,-0.002236,0.030000,23.000000,8,0,0.000000
98,1642591594.721196,-33.440603,9.660338,0.631111,0.000062,0.005000,0.060000,23.000000,5,0,0.000000
99,1642591594.761197,-33.440603,9.660338,0.631111,0.001025,0.001987,-0.030000,23.000000,5,0,0.000000
100,1642591594.801192,-33.440574,9.661447,0.631111,-0.006024,-0.001926,0.010000,23.000000,5,0,0.000000
101,1642591594.861207,-33.441474,9.661470,0.631111,-0.003758,0.003447,0.020000,23.000000,5,0,0.000000
102,1642591594.921189,-33.441503,9.660361,0.631111,0.000279,0.006397,0.050000,23.000000,5,0,0.000000
103,1642591594.941290,-33.441503,9.660361,0.631111,-0.008229,-0.002298,0.050000,23.000000,5,0,0.000000
104,1642591595.021212,-33.441474,9.661470,0.631286,-0.002578,0.001832,0.040000,23.000000,5,0,0.000000
105,1642591595.061215,-33.441474,9.661470,0.631286,-0.005000,0.000061,0.060000,23.000000,5,0,0.000000
106,1642591595.101197,-33.442374,9.661494,0.631286,-0.006024,-0.001927,0.030000,22.000000,5,0,0.000000
107,1642591595.141185,-33.442402,9.660384,0.631286,-0.003168,0.002639,0.100000,16.000000,5,0,0.000000
108,1642591595.201195,-33.442374,9.661494,0.631286,-0.010433,-0.002673,0.050000,8.000000,5,0,0.000000
109,1642591595.281191,-33.442402,9.660384,0.631286,-0.006987,0.001085,0.100000,2.000000,5,0,0.000000
110,1642591595.321198,-33.443302,9.660407,0.631286,-0.004565,0.002856,0.080000,-2.000000,5,0,0.000000
111,1642591595.361202,-33.443302,9.660407,0.631286,-0.002361,0.003229,0.050000,-10.000000,5,0,0.000000
112,1642591595.401186,-33.442374,9.661494,0.631286,-0.003229,-0.002361,-0.060000,-20.000000,5,0,0.000000
113,1642591595.441192,-33.443273,9.661517,0.631286,-0.006892,-0.007516,-0.080000,-31.000000,8,0,0.000000
114,1642591595.481252,-33.443273,9.661517,0.631286,-0.007917,-0.009504,-0.060000,-42.000000,10,0,0.000000
115,1642591595.541216,-33.443302,9.660407,0.631286,-0.008446,-0.003697,-0.040000,-54.000000,10,0,0.000000
116,1642591595.621187,-33.443273,9.661517,0.631286,-0.003290,-0.007360,-0.130000,-65.000000,13,0,0.000000
117,1642591595.661332,-33.443273,9.661517,0.631286,-0.002361,0.003229,0.020000,-76.000000,13,0,0.000000
118,1642591595.701250,-33.443302,9.660407,0.631286,-0.006397,0.000278,0.010000,-86.000000,13,0,0.000000
119,1642591595.741198,-33.444201,9.660431,0.631111,-0.009627,-0.002081,0.010000,-97.000000,13,0,0.000000
120,1642591595.781313,-33.443273,9.661517,0.631111,-0.007111,-0.008913,-0.120000,-107.000000,13,0,0.000000
121,1642591595.821249,-33.443273,9.661517,0.631111,-0.004689,-0.007142,-0.130000,-117.000000,13,0,0.000000
122,1642591595.921210,-33.444201,9.660431,0.630937,-0.005715,-0.009129,-0.150000,-128.000000,16,0,0.000000
123,1642591595.961229,-33.444201,9.660431,0.630937,-0.001770,0.002422,-0.060000,-138.000000,13,0,0.000000
124,1642591596.001183,-33.443302,9.660407,0.630937,-0.007794,0.000498,-0.010000,-149.000000,13,0,0.000000
125,1642591596.041183,-33.444201,9.660431,0.630937,-0.012484,-0.006644,0.000000,-159.000000,13,0,0.000000
126,1642591596.081197,-33.444201,9.660431,0.630937,-0.008138,-0.010899,-0.060000,-171.000000,13,0,0.000000
127,1642591596.161215,-33.444201,9.660431,0.630762,-0.003911,0.007050,0.050000,-181.000000,13,0,0.000000
128,1642591596.221198,-33.444201,9.660431,0.630762,-0.000744,0.004410,0.020000,-192.000000,13,0,0.000000
129,1642591596.281202,-33.444201,9.660431,0.630762,0.000744,-0.004410,-0.090000,-202.000000,13,0,0.000000
130,1642591596.301195,-33.444201,9.660431,0.630762,-0.007985,-0.014499,-0.100000,-211.000000,13,0,0.000000
131,1642591596.341280,-33.445101,9.660454,0.630587,-0.005783,-0.014127,-0.140000,-221.000000,13,0,0.000000
132,1642591596.421196,-33.444201,9.660431,0.630587,-0.009717,0.006526,0.060000,-231.000000,13,0,0.000000
133,1642591596.461300,-33.445101,9.660454,0.630587,-0.014627,-0.002011,0.010000,-237.000000,13,0,0.000000
134,1642591596.501184,-33.445101,9.660454,0.630587,-0.009450,-0.019280,-0.210000,-237.000000,13,0,0.000000
135,1642591596.561193,-33.445101,9.660454,0.630413,-0.008951,-0.011484,-0.070000,-235.000000,13,0,0.000000
136,1642591596.621192,-33.445101,9.660454,0.630413,-0.012859,-0.004432,0.080000,-235.000000,13,0,0.000000
137,1642591596.641191,-33.445101,9.660454,0.630413,-0.003013,-0.000961,0.000000,-235.000000,13,0,0.000000
138,1642591596.721200,-33.446000,9.660477,0.630587,-0.014538,-0.010613,0.070000,-235.000000,13,0,0.000000
